,Name,Affiliation,google_scholar_id
146,Konstantin Vodopyanov,University_of_Central_Florida,RbAECKgAAAAJ
147,Dietrich Belitz,University_of_Oregon,DuY2DjoAAAAJ
148,Tim Cohen,University_of_Oregon,QyUzu7AAAAAJ
149,John Hoffman,University_of_Texas_Dallas,3j2TmR4AAAAJ
150,"Werner, Nicholas",California_State_University_Long_Beach,Zh7QyLQAAAAJ
151,"Zafra, Alejandro",California_State_University_Long_Beach,qrpJTDcAAAAJ
152,Rabi Ebrahim,University_of_Houston,QV0QY-wAAAAJ
153,Xifan Wu,Temple_University,sn27l34AAAAJ
154,Qimin Yan,Temple_University,ysfTfdkAAAAJ
155,John Noel,Temple_University,0LdsdNsAAAAJ
156,Joon Sue Lee,University_of_Tennessee,tlKjx_kAAAAJ
157,Miguel Madurga,University_of_Tennessee,hWlYQiIAAAAJ
158,David A Williams,University_of_California_Santa_Cruz,_d_1Z5YAAAAJ
159,Greg Herman,Oregon_State_University,rGrMgRQAAAAJ
160,Bradley Schaefer,Louisiana_State_University,VXvek_AAAAAJ
161,David Young,Louisiana_State_University,lBCHkQoAAAAJ
162,Rui Zhang,Louisiana_State_University,yoJqPIkAAAAJ
163,Nathan Schwadron,University_of_New_Hampshire,AWJb6g4AAAAJ
164,John Kroon,George_Mason_University,mLu3fG4AAAAJ
165,Florin Moldoveanu,George_Mason_University,wHCtHCgAAAAJ
166,Marcus Alfred,Howard_University,2vWkcVQAAAAJ
167,Samaresh Guchhait,Howard_University,7pFvdi0AAAAJ
168,Duilia F. de Mello,Catholic_University_of_America,eoMxogcAAAAJ
169,"Stephanov, Mikhail",University_of_Illinois_at_Chicago,w6VSShQAAAAJ
170,Christopher Bruner,Texas_State_University,_xABKb0AAAAJ
171,Vivek Jain,University_at_Albany_SUNY,LRp5h5kAAAAJ
172,Carolyn MacDonald,University_at_Albany_SUNY,RwOnBlMAAAAJ
173,Deepika Menon,Towson_University,TkVS0FAAAAAJ
174,Dr. Jay Austin,University_of_Minnesota_Duluth,KYOCMe0AAAAJ
175,Lauren Waszek,New_Mexico_State_University,idbfF_MAAAAJ
176,"Mostafanazhad Aslmarand, Shahabeddin",Florida_Atlantic_University,DinrbooAAAAJ
177,Joanne Rhodes,University_of_Memphis,TCV4Oo0AAAAJ
178,John G. Gibbs,Northern_Arizona_University,YcXMUxgAAAAJ
179,Hui Cai,University_of_California_Merced,qDBGEa0AAAAJ
180,Carrie Menke,University_of_California_Merced,5d40zLwAAAAJ
181,Aleksandr Noy,University_of_California_Merced,NPgrg7sAAAAJ
182,Tao Ye,University_of_California_Merced,eRtsipwAAAAJ
183,"Hobosyan, Mkhitar",The_University_of_Texas_Rio_Grande_Valley,ySpDnS0AAAAJ
184,János A. Bergou,CUNY_Graduate_School_&_University_Center,Xd1vtf0AAAAJ
185,Nicolas Biais,CUNY_Graduate_School_&_University_Center,sKz89k0AAAAJ
186,Campus Life,University_of_Houston_Clear_Lake,Phx4HUEAAAAJ
187,Santanu Pakhira,Iowa_State_University,9gQE2IYAAAAJ
188,Shuo Tang,Iowa_State_University,_cqWssQAAAAJ
189,Andrew Eaton,Iowa_State_University,9q_nPEQAAAAJ
190,Joseph Hall,Iowa_State_University,KuZA6d0AAAAJ
191,Yongpan Li,Iowa_State_University,n-YKIQMAAAAJ
192,David Rea,Iowa_State_University,nNyyTfQAAAAJ
193,Matthew Small,Iowa_State_University,U2fd5FsAAAAJ
194,Dr. K.S. Babu,Oklahoma_State_University,ul2_y00AAAAJ
195,Dr. Ahmed Ismail,Oklahoma_State_University,q5F9cpUAAAAJ
196,Mark Hillery,CUNY_Graduate_School_&_University_Center1,j5wnPCMAAAAJ
197,Hyungsik Lim,CUNY_Graduate_School_&_University_Center1,ALUfuDUAAAAJ
198,Mohammad-Ali Miri,CUNY_Graduate_School_&_University_Center1,gOe8T0MAAAAJ
199,Matthew Gochan,Boston_College,XW6M1NEAAAAJ
200,Robert Konik,Boston_College,9OHKNBsAAAAJ
201,Ranjan Mukhopadhyay,Clark_University,m6fZXgQAAAAJ
202,Maryam Modjaz,New_York_University,TYdEzrcAAAAJ
203,Antoine Georges,New_York_University,sCdnMVYAAAAJ
204,John F. Beacom,Ohio_State_University,iU6WRe8AAAAJ
205,Qi Li,Pennsylvania_State_University_University_Park,U3iO1uUAAAAJ
206,Alexander Polyakov,Princeton_University,PJV-rEUAAAAJ
207,"Agrawal, Govind P.",Rochester_Institute_of_Technology,StqcycAAAAAJ
208,"Mamajek, Eric",Rochester_Institute_of_Technology,qQsWNi4AAAAJ
209,Bryce Gadway,University_of_Illinois_Urbana_Champaign,AK35v68AAAAJ
210,Angela Kou,University_of_Illinois_Urbana_Champaign,tnES8xIAAAAJ
211,Tulika Bose,University_of_Wisconsin_Madison,IY8ZatYAAAAJ
212,Deniz Yavuz,University_of_Wisconsin_Madison,oCEzj40AAAAJ
213,"Erlich, Joshua",William_&_Mary,Z94xGp0AAAAJ
214,"Kordosky, Michael",William_&_Mary,d_gv9bUAAAAJ
215,"Orginos, Konstantinos",William_&_Mary,oLPGqOsAAAAJ
